GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (GPS)(km/h),Altitude (GPS)(m),Acceleration Sensor(Total)(g),Acceleration Sensor(Z axis)(g),Engine Load(%),Engine Coolant Temperature(°C),Fuel pressure(kPa),Intake Manifold Pressure(kPa),Engine RPM(rpm),Speed (OBD)(km/h),Mass Air Flow Rate(g/s),Intake Air Temperature(°C),Timing Advance(°),Throttle Position(%),Fuel Level(%),Voltage(V),Miles Per Gallon (diesel support in pro version)(mpg),Turbo Boost Gauge (full support in pro version)(psi),Miles Per Gallon(Average) (diesel support in pro version)(mpg),Kilometers Per Litre(kpl),Kilometers Per Litre(Average)(kpl),Trip Distance(km),Trip average MPG(mpg),Trip average KPL(kpl),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Ambient air temp(°C),Barometric pressure(kPa),Litres Per 100 Kilometer(l/100km),Litres Per 100 Kilometer(Average)(l/100km)
Sat Mar 07 08:07:55 MEZ 2015,07-Mär.-2015 08:07:54.044,6.09679542,50.77796613,0.0,19.0,195.0,0.0,-1.0779893,4.1138372,7.9511437,-0.06183529,-,-,-0.061835289001464844,0.7105141282081604,28.235294342041016,10.0,-,100.0,898.5,0.0,8.970000267028809,6.0,-,83.52941131591797,-,14.859999656677246,-,-0.1962261199951172,-,-,-,0.014432409778237343,-,-,-0.1098867803812027,0.41935136914253235,5.0,101.0,-,-
Sat Mar 07 08:07:56 MEZ 2015,07-Mär.-2015 08:07:55.039,6.09677275,50.77796551,0.0,12.0,197.0,0.0,-0.073023155,4.5723267,6.717531,-0.15263116,-,-,-0.15263116359710693,0.5847635865211487,28.627450942993164,18.0,-,100.0,898.5,0.0,7.940000057220459,7.0,-,83.52941131591797,-,14.84000015258789,0.0,-0.1962261199951172,-,0.0,-,0.014432409778237343,-,-,-0.0074437465518713,0.46608832478523254,5.0,101.0,Infinity,-
Sat Mar 07 08:07:57 MEZ 2015,07-Mär.-2015 08:07:56.038,6.09677245,50.77796335,0.0,12.0,198.0,0.0,-0.86849666,1.9297266,9.017162,-0.03684652,0.0,198.0,-0.03684651851654053,0.8191806077957153,28.627450942993164,18.0,-,100.0,899.0,0.0,7.880000114440918,7.0,-,83.52941131591797,-,14.859999656677246,0.0,-0.1962261199951172,-,0.0,-,0.016120856627821922,-,-,-0.08853176236152649,0.19671013951301575,5.0,101.0,Infinity,-
Sat Mar 07 08:07:58 MEZ 2015,07-Mär.-2015 08:07:57.040,6.09677679,50.77796334,0.0,9.0,197.0,0.0,0.04070143,5.5551467,8.7053175,0.07168609,0.0,197.0,0.07168608903884888,0.7873921990394592,28.235294342041016,18.0,-,100.0,899.0,0.0,7.989999771118164,7.0,-,83.52941131591797,-,14.84000015258789,0.0,-0.1962261199951172,-,0.0,-,0.016426967456936836,-,-,0.004148973152041435,0.5662738680839539,5.0,101.0,Infinity,-
Sat Mar 07 08:07:59 MEZ 2015,07-Mär.-2015 08:07:58.037,6.0967731,50.77796358,0.0,7.0,198.0,0.0,-1.2294226,-9.868899,1.9213469,0.05152577,0.0,198.0,0.051525771617889404,0.0958559513092041,28.627450942993164,18.0,-,100.0,898.5,0.0,8.079999923706055,7.0,-,83.52941131591797,-,14.859999656677246,0.0,-0.1962261199951172,-,0.0,-,0.016688596457242966,-,-,-0.12532339990139008,-1.006003975868225,5.0,101.0,Infinity,-
Sat Mar 07 08:08:00 MEZ 2015,07-Mär.-2015 08:07:59.041,6.09677879,50.77796481,0.0,5.0,199.0,0.0,-0.036511578,-8.6095495,4.31495,6.914139E-4,0.0,199.0,6.914138793945313E-4,0.3398521840572357,28.235294342041016,18.0,-,100.0,897.5,0.0,7.829999923706055,7.0,-,83.52941131591797,-,14.84000015258789,0.0,-0.1962261199951172,-,0.0,-,0.0171126089990139,-,-,-0.00372187327593565,-0.8776298761367798,5.0,101.0,Infinity,-
Sat Mar 07 08:08:01 MEZ 2015,07-Mär.-2015 08:08:00.044,6.09677875,50.77796716,0.0,4.0,199.0,0.0,-0.11492168,-8.738237,4.687248,0.029873312,0.0,199.0,0.002364218235015869,0.3453435003757477,28.235294342041016,18.0,-,100.0,897.0,0.0,7.940000057220459,8.0,-,83.52941131591797,-,14.859999656677246,0.0,-0.1962261199951172,-,0.0,-,0.01737404800951481,-,-,-0.011714748106896877,-0.8907479047775269,5.0,101.0,Infinity,-
Sat Mar 07 08:08:02 MEZ 2015,07-Mär.-2015 08:08:01.040,6.09677738,50.77797011,0.0,4.0,200.0,0.0,-0.22445641,-8.846576,4.6680946,0.038894713,0.0,200.0,0.038894712924957275,0.3758506178855896,28.627450942993164,18.0,-,100.0,896.5,0.0,7.880000114440918,8.0,-,83.52941131591797,-,14.84000015258789,0.0,-0.1962261199951172,-,0.0,-,0.017716148868203163,-,-,-0.022880367934703827,-0.9017915725708008,5.0,101.0,Infinity,-
Sat Mar 07 08:08:03 MEZ 2015,07-Mär.-2015 08:08:02.040,6.09678044,50.77796915,0.0,4.0,199.0,0.0,-0.07062895,-8.563461,4.267066,-0.005673647,0.0,199.0,-0.005673646926879883,0.33497104048728943,28.235294342041016,19.0,-,100.0,896.5,0.0,7.659999847412109,8.0,-,83.52941131591797,-,14.84000015258789,0.0,-0.1962261199951172,-,0.0,-,0.01795695349574089,-,-,-0.0071996888145804405,-0.8729317784309387,5.0,101.0,Infinity,-
Sat Mar 07 08:08:04 MEZ 2015,07-Mär.-2015 08:08:03.037,6.0967763,50.77796857,0.0,3.0,200.0,0.0,-0.23463176,-8.857349,4.6483426,0.038952768,0.0,200.0,0.038952767848968506,0.3738371431827545,28.235294342041016,19.0,-,100.0,898.0,0.0,7.769999980926514,8.0,-,83.52941131591797,-,14.84000015258789,0.0,-0.1962261199951172,-,0.0,-,0.01825599931180477,-,-,-0.023917609825730324,-0.9028897881507874,5.0,101.0,Infinity,-
