GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (GPS)(km/h),Altitude (GPS)(m),Acceleration Sensor(Total)(g),Acceleration Sensor(Z axis)(g),Engine Load(%),Engine Coolant Temperature(°C),Fuel pressure(kPa),Intake Manifold Pressure(kPa),Engine RPM(rpm),Speed (OBD)(km/h),Mass Air Flow Rate(g/s),Intake Air Temperature(°C),Timing Advance(°),Throttle Position(%),Fuel Level(%),Voltage(V),Kilometers Per Litre(kpl),Kilometers Per Litre(Average)(kpl),Trip Distance(km),Trip average MPG(mpg),Trip average KPL(kpl),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Ambient air temp(°C),Barometric pressure(kPa),Litres Per 100 Kilometer(l/100km),Litres Per 100 Kilometer(Average)(l/100km)
Sun Mar 08 00:57:17 MEZ 2015,08-Mär.-2015 01:00:01.189,6.04717659,50.77885017,1.8200275,5.0,240.0,239.5,1.3563153,3.6260185,8.240842,-0.052876413,-,-,-0.052876412868499756,0.7400450110435486,41.568626403808594,15.0,-,99.0,933.5,0.0,0.8600000143051147,4.0,-,83.52941131591797,-,11.960000038146973,-,-,0.0,-,-,0.1382584273815155,0.36962470412254333,7.0,100.0,-,-
Sun Mar 08 00:57:17 MEZ 2015,08-Mär.-2015 01:00:02.186,6.04717659,50.77885017,1.8200275,5.0,240.0,239.5,1.5652094,2.9269116,7.3687544,-0.15716887,-,-,-0.15716886520385742,0.651147186756134,40.7843132019043,13.0,-,100.0,937.0,0.0,16.190000534057617,19.0,-,83.52941131591797,-,14.699999809265137,0.0,-,0.0,-,-,0.1595524251461029,0.2983599901199341,7.0,100.0,Infinity,-
Sun Mar 08 00:57:17 MEZ 2015,08-Mär.-2015 01:00:03.184,6.04717659,50.77885017,1.8200275,5.0,240.0,239.5,1.2952632,1.9752164,8.607754,-0.0711171,-,-,-0.071117103099823,0.7774468660354614,36.86274719238281,13.0,-,100.0,951.5,0.0,16.440000534057617,19.0,-,83.52941131591797,-,14.699999809265137,0.0,-,0.0,-,-,0.13203497231006622,0.2013472318649292,7.0,100.0,Infinity,-
Sun Mar 08 00:57:17 MEZ 2015,08-Mär.-2015 01:00:04.184,6.04717659,50.77885017,1.8200275,5.0,240.0,239.5,4.743512,-2.6994624,8.58022,0.05559331,-,-,0.05559331178665161,0.7746401429176331,34.90196228027344,13.0,-,100.0,952.0,0.0,16.940000534057617,18.0,-,83.52941131591797,-,14.720000267028809,0.0,-,0.0,-,-,0.483538419008255,-0.2751745581626892,7.0,100.0,Infinity,-
Sun Mar 08 00:57:17 MEZ 2015,08-Mär.-2015 01:00:05.193,6.04717659,50.77885017,1.8200275,5.0,240.0,239.5,4.941034,-3.2513258,7.369353,-0.01775235,-,-,-0.017752349376678467,0.651208221912384,33.33333206176758,13.0,-,101.0,951.0,0.0,16.690000534057617,18.0,-,83.52941131591797,-,14.779999732971191,0.0,-,0.0,-,-,0.5036731362342834,-0.33142974972724915,7.0,100.0,Infinity,-
Sun Mar 08 01:00:06 MEZ 2015,08-Mär.-2015 01:00:06.187,6.04652254,50.77879341,0.559017,13.0,257.0,265.4,4.1198225,4.3089647,7.4226236,-0.010534644,-,-,-0.01053464412689209,0.6566384434700012,32.94117736816406,13.0,-,101.0,947.0,0.0,16.719999313354492,17.0,-,83.52941131591797,-,14.760000228881836,0.0,-,0.0,-,-,0.41996151208877563,0.43924206495285034,7.0,100.0,Infinity,-
Sun Mar 08 01:00:07 MEZ 2015,08-Mär.-2015 01:00:07.185,6.04664112,50.77849396,0.70710677,45.0,230.0,265.4,1.6017209,7.013814,5.767632,-0.020480921,-,-,-0.020480921491980553,0.4879339337348938,31.372549057006836,13.0,-,101.0,944.0,0.0,16.6299991607666,16.0,-,83.52941131591797,-,14.720000267028809,0.0,-,0.0,-,-,0.16327430307865143,0.7149657011032104,7.0,100.0,Infinity,-
Sun Mar 08 01:00:08 MEZ 2015,08-Mär.-2015 01:00:08.184,6.0463405,50.77866728,0.559017,20.0,229.0,265.4,4.124611,7.2059484,6.473323,0.09220618,2.0124611854553223,229.0,0.09220618009567261,0.5598697662353516,29.803922653198242,13.0,-,101.0,945.0,0.0,16.6299991607666,16.0,-,83.52941131591797,-,14.760000228881836,0.0,-,0.0,-,-,0.4204496145248413,0.7345512509346008,7.0,100.0,Infinity,-
Sun Mar 08 01:00:08 MEZ 2015,08-Mär.-2015 01:00:09.185,6.0463405,50.77866728,0.559017,20.0,229.0,265.4,-1.6095021,-11.467029,-0.59855044,0.20094603,2.0124611854553223,229.0,0.20094603300094604,-0.16101431846618652,30.58823585510254,13.0,-,101.0,943.5,0.0,16.799999237060547,16.0,-,83.52941131591797,-,14.680000305175781,0.0,-,0.0,-,-,-0.16406747698783875,-1.1689121723175049,7.0,100.0,Infinity,-
Sun Mar 08 01:00:10 MEZ 2015,08-Mär.-2015 01:00:10.198,6.04654975,50.77865692,0.9013878,16.0,278.0,37.8,0.051475335,-9.248202,3.7193923,0.035130203,3.2449960708618164,278.0,0.035130202770233154,0.27914294600486755,29.803922653198242,13.0,-,101.0,939.0,0.0,16.770000457763672,15.0,-,83.52941131591797,-,14.640000343322754,0.0,-,0.01480356976389885,-,-,0.005247230641543865,-0.9427320957183838,7.0,100.0,Infinity,-
Sun Mar 08 01:00:12 MEZ 2015,08-Mär.-2015 01:00:11.186,6.04656573,50.77878524,0.5,26.0,262.0,0.0,0.073621705,-9.354745,3.6978445,0.04441887,1.7999999523162842,262.0,0.015693604946136475,0.25992342829704285,29.411766052246094,13.0,-,101.0,937.0,0.0,16.719999313354492,15.0,-,83.52941131591797,-,14.619999885559082,0.0,-,0.02912282943725586,-,-,0.007504760753363371,-0.9535927176475525,7.0,100.0,Infinity,-
Sun Mar 08 01:00:12 MEZ 2015,08-Mär.-2015 01:00:12.184,6.04656573,50.77878524,0.5,26.0,262.0,0.0,0.3561375,-9.618107,3.1268275,0.050587595,1.7999999523162842,262.0,0.050587594509124756,0.21873877942562103,29.411766052246094,13.0,-,102.0,933.5,0.0,15.9399995803833,15.0,-,83.52941131591797,-,14.680000305175781,0.0,-,0.02912282943725586,-,-,0.03630351647734642,-0.9804390072822571,7.0,100.0,Infinity,-
Sun Mar 08 01:00:14 MEZ 2015,08-Mär.-2015 01:00:13.184,6.04653047,50.77881797,0.5,16.0,255.0,0.0,0.12629414,-9.669582,3.139397,0.055414975,1.7999999523162842,255.0,0.05541497468948364,0.22002007067203522,30.980392456054688,13.0,-,102.0,939.0,0.0,11.470000267028809,13.0,-,83.52941131591797,-,14.699999809265137,0.0,-,0.03353211283683777,-,-,0.012874019332230091,-0.9856862425804138,7.0,100.0,Infinity,-
Sun Mar 08 01:00:15 MEZ 2015,08-Mär.-2015 01:00:14.184,6.04651514,50.77881868,0.5,14.0,255.0,0.0,0.16759412,-9.573814,2.9694088,0.04093045,1.7999999523162842,255.0,0.04093044996261597,0.20269201695919037,34.509803771972656,13.0,-,100.0,934.0,0.0,10.15999984741211,10.0,-,83.52941131591797,-,14.640000343322754,0.0,-,0.03461623191833496,-,-,0.01708400808274746,-0.9759239554405212,7.0,100.0,Infinity,-
Sun Mar 08 01:00:16 MEZ 2015,08-Mär.-2015 01:00:15.186,6.046509,50.77882714,0.5,13.0,257.0,0.0,0.20829555,-9.261371,2.8030117,0.005594671,1.7999999523162842,257.0,0.00559467077255249,0.18573004007339478,35.29411697387695,13.0,-,99.0,931.0,0.0,9.609999656677246,10.0,-,83.52941131591797,-,14.699999809265137,0.0,-,0.03565221279859543,-,-,0.021232981234788895,-0.9440744519233704,7.0,100.0,Infinity,-
Sun Mar 08 01:00:17 MEZ 2015,08-Mär.-2015 01:00:16.183,6.0465266,50.77889548,0.5,14.0,253.0,0.0,0.14305355,-9.456498,3.0454245,0.031825244,1.7999999523162842,253.0,0.031825244426727295,0.21044081449508667,35.686275482177734,14.0,-,99.0,931.0,0.0,9.300000190734863,10.0,-,83.52941131591797,-,14.699999809265137,0.0,-,0.0433553084731102,-,-,0.014582419767975807,-0.963965117931366,7.0,100.0,Infinity,-
Sun Mar 08 01:00:18 MEZ 2015,08-Mär.-2015 01:00:17.183,6.04654299,50.77889507,0.5,15.0,253.0,0.0,0.10055647,-9.60015,3.1304188,0.048372447,1.7999999523162842,253.0,0.04837244749069214,0.21910487115383148,35.686275482177734,14.0,-,99.0,929.5,0.0,9.329999923706055,10.0,-,83.52941131591797,-,14.640000343322754,0.0,-,0.04451220855116844,-,-,0.010250404477119446,-0.9786085486412048,7.0,100.0,Infinity,-
Sun Mar 08 01:00:19 MEZ 2015,08-Mär.-2015 01:00:18.185,6.04654511,50.77890484,0.5,14.0,253.0,0.0,0.19871874,-9.566631,2.9179332,0.038746297,1.7999999523162842,253.0,0.03874629735946655,0.19744476675987244,35.686275482177734,14.0,-,99.0,928.5,0.0,9.109999656677246,10.0,-,83.52941131591797,-,14.699999809265137,0.0,-,0.04560929909348488,-,-,0.020256752148270607,-0.9751917123794556,7.0,100.0,Infinity,-
Sun Mar 08 01:00:20 MEZ 2015,08-Mär.-2015 01:00:19.184,6.04656199,50.77890832,0.5,14.0,252.0,0.0,0.16519992,-9.271546,2.8550856,0.008051574,1.7999999523162842,252.0,0.008051574230194092,0.19103828072547913,35.686275482177734,14.0,-,99.0,929.0,0.0,9.329999923706055,10.0,-,83.52941131591797,-,14.699999809265137,0.0,-,0.04686121642589569,-,-,0.016839951276779175,-0.9451116919517517,7.0,100.0,Infinity,-
Sun Mar 08 01:00:21 MEZ 2015,08-Mär.-2015 01:00:20.203,6.04656281,50.77891003,0.5,14.0,252.0,0.0,0.08738836,-9.592968,3.139397,0.04794818,1.7999999523162842,252.0,0.03151613473892212,0.2057427316904068,35.29411697387695,14.0,-,99.0,929.0,0.0,9.520000457763672,10.0,-,83.52941131591797,-,14.619999885559082,0.0,-,0.0470600426197052,-,-,0.008908089250326157,-0.9778764247894287,7.0,100.0,Infinity,-
Sun Mar 08 01:00:22 MEZ 2015,08-Mär.-2015 01:00:21.187,6.0465646,50.77890851,0.5,14.0,252.0,0.0,0.10534488,-9.685743,3.09271,0.05550009,1.7999999523162842,252.0,0.0555000901222229,0.21526095271110535,35.29411697387695,14.0,-,99.0,929.0,0.0,9.239999771118164,10.0,-,83.52941131591797,-,14.619999885559082,0.0,-,0.047271065413951874,-,-,0.01073851902037859,-0.9873336553573608,7.0,100.0,Infinity,-
Sun Mar 08 01:00:23 MEZ 2015,08-Mär.-2015 01:00:22.187,6.04656516,50.77890815,0.5,14.0,252.0,0.0,0.24241292,-9.281721,2.7940333,0.007396579,1.7999999523162842,252.0,0.007396578788757324,0.18481481075286865,35.29411697387695,14.0,-,99.0,928.0,0.0,9.050000190734863,10.0,-,83.52941131591797,-,14.640000343322754,0.0,-,0.04732731357216835,-,-,0.024710796773433685,-0.9461488723754883,7.0,100.0,Infinity,-
Sun Mar 08 01:00:24 MEZ 2015,08-Mär.-2015 01:00:23.213,6.04656606,50.77890817,0.5,15.0,252.0,0.0,0.17298107,-9.630676,3.0986955,0.05043596,1.7999999523162842,252.0,0.055824100971221924,0.2178845852613449,35.29411697387695,14.0,-,99.0,928.5,0.0,9.550000190734863,10.0,-,83.52941131591797,-,14.699999809265137,0.0,-,0.047390829771757126,-,-,0.017633136361837387,-0.9817202687263489,7.0,100.0,Infinity,-
Sun Mar 08 01:00:25 MEZ 2015,08-Mär.-2015 01:00:24.185,6.04656162,50.77891146,0.5,15.0,252.0,0.0,0.16819267,-9.306262,2.7976246,0.009737015,1.7999999523162842,252.0,0.009737014770507813,0.1851808875799179,35.29411697387695,14.0,-,99.0,925.0,0.0,8.859999656677246,10.0,-,83.52941131591797,-,14.699999809265137,0.0,-,0.04787251353263855,-,-,0.01714502088725567,-0.9486505389213562,7.0,100.0,Infinity,-
Sun Mar 08 01:00:25 MEZ 2015,08-Mär.-2015 01:00:25.183,6.04656162,50.77891146,0.5,15.0,252.0,0.0,0.12150574,-9.69113,3.103484,0.05637592,1.7999999523162842,252.0,0.05637592077255249,0.2163592129945755,35.29411697387695,14.0,-,99.0,923.0,0.0,9.050000190734863,10.0,-,83.52941131591797,-,14.699999809265137,0.0,-,0.04787251353263855,-,-,0.012385905720293522,-0.987882673740387,7.0,100.0,Infinity,-
Sun Mar 08 01:00:25 MEZ 2015,08-Mär.-2015 01:00:26.186,6.04656162,50.77891146,0.5,15.0,252.0,0.0,0.17597382,-9.303269,2.8054059,0.009687662,1.7999999523162842,252.0,0.009687662124633789,0.1859740912914276,35.29411697387695,14.0,-,99.0,923.5,0.0,9.15999984741211,10.0,-,83.52941131591797,-,14.699999809265137,0.0,-,0.04787251353263855,-,-,0.01793820783495903,-0.9483454823493958,7.0,100.0,Infinity,-
Sun Mar 08 01:00:28 MEZ 2015,08-Mär.-2015 01:00:27.186,6.04656356,50.7789085,0.5,13.0,252.0,0.0,0.12629414,-9.640253,3.1705215,0.053558767,1.7999999523162842,252.0,0.05355876684188843,0.22319281101226807,35.29411697387695,14.0,-,99.0,937.5,0.0,8.800000190734863,10.0,-,83.52941131591797,-,14.619999885559082,0.0,-,0.048229094594717026,-,-,0.012874019332230091,-0.9826964735984802,7.0,100.0,Infinity,-
Sun Mar 08 01:00:28 MEZ 2015,08-Mär.-2015 01:00:28.183,6.04656356,50.7789085,0.5,13.0,252.0,0.0,0.39863458,-9.625888,1.9626468,0.021244586,1.7999999523162842,252.0,0.021244585514068604,0.1000659316778183,60.7843132019043,14.0,-,99.0,884.0,0.0,10.739999771118164,10.0,-,83.52941131591797,-,14.640000343322754,0.0,-,0.048229094594717026,-,-,0.04063552990555763,-0.9812321662902832,7.0,100.0,Infinity,-
Sun Mar 08 01:00:30 MEZ 2015,08-Mär.-2015 01:00:29.183,6.04656242,50.77890999,0.5,13.0,252.0,0.0,0.33758244,-9.831789,1.8303672,0.03902155,1.7999999523162842,252.0,0.03902155160903931,0.0865817666053772,64.70588684082031,14.0,-,99.0,923.0,0.0,14.109999656677246,11.0,-,83.52941131591797,-,14.720000267028809,0.0,-,0.04841332137584686,-,-,0.034412071108818054,-1.0022211074829102,7.0,100.0,Infinity,-
Sun Mar 08 01:00:31 MEZ 2015,08-Mär.-2015 01:00:30.184,6.04656447,50.77891543,1.118034,14.0,252.0,13.4,0.23223756,-10.229227,-0.40102878,0.06280416,4.0249223709106445,252.0,0.06280416250228882,-0.1408795863389969,95.29412078857422,14.0,-,100.0,1154.5,2.0,17.549999237060547,15.0,-,83.52941131591797,-,14.720000267028809,0.34434330463409424,NaN,0.04903552308678627,-,-,0.02367355301976204,-1.0427346229553223,7.0,100.0,290.40533447265625,NaN
Sun Mar 08 01:00:32 MEZ 2015,08-Mär.-2015 01:00:31.185,6.04659021,50.77894636,2.0615528,15.0,253.0,52.6,0.9911995,-9.09617,-0.89603,-0.043815136,7.4215898513793945,253.0,-0.04381513595581055,-0.1913384199142456,96.86274719238281,14.0,-,114.0,1515.0,12.0,29.469999313354492,16.0,-,83.52941131591797,-,14.760000228881836,1.2303816080093384,1.2303816080093384,0.05292587727308273,-,-,0.10103970021009445,-0.9272344708442688,7.0,100.0,81.27488708496094,81.27488708496094
Sun Mar 08 01:00:33 MEZ 2015,08-Mär.-2015 01:00:32.183,6.04664407,50.77889317,3.2882366,13.0,253.0,81.9,1.4425066,-10.312426,-0.7110779,0.08292216,11.837651252746582,253.0,0.08292216062545776,-0.17248499393463135,63.92156982421875,14.0,-,121.0,1778.0,14.0,31.520000457763672,17.0,-,83.52941131591797,-,14.760000228881836,1.3420867919921875,1.2303816080093384,0.059957414865493774,-,-,0.14704449474811554,-1.051215648651123,7.0,100.0,74.51017761230469,81.27488708496094
Sun Mar 08 01:00:34 MEZ 2015,08-Mär.-2015 01:00:33.222,6.04669487,50.77890479,3.7831864,13.0,253.0,84.0,0.5410896,-12.001534,-0.21188685,0.2438311,13.619470596313477,253.0,0.06693047285079956,0.1184922531247139,43.92156982421875,15.0,-,139.0,2111.5,16.0,39.79999923706055,17.0,-,83.52941131591797,-,14.760000228881836,1.759948968887329,1.40168297290802,0.06376642733812332,-,-,-0.08188120275735855,-1.0216236114501953,7.0,100.0,56.819332122802734,71.3421859741211
Sun Mar 08 01:00:35 MEZ 2015,08-Mär.-2015 01:00:34.185,6.04675549,50.77883862,4.2793107,13.0,253.0,102.0,0.45310268,-10.169372,3.235165,0.10780579,15.405518531799316,253.0,0.007241427898406982,0.229782372713089,35.29411697387695,15.0,-,125.0,2075.0,16.0,25.690000534057617,15.0,-,83.52941131591797,-,14.760000228881836,1.8818916082382202,1.5217351913452148,0.07227907329797745,-,-,0.046187832951545715,-1.0366331338882446,7.0,100.0,53.13755798339844,65.71388244628906
Sun Mar 08 01:00:36 MEZ 2015,08-Mär.-2015 01:00:35.183,6.04681786,50.77886412,3.7831864,11.0,251.0,110.9,1.0372878,-9.41041,2.7192147,0.023095071,13.619470596313477,251.0,0.02309507131576538,0.17718803882598877,35.686275482177734,15.0,-,115.0,1951.0,15.0,22.049999237060547,14.0,-,83.52941131591797,-,14.720000267028809,2.055518388748169,1.628491759300232,0.07751341164112091,-,-,0.10573779791593552,-0.9592670202255249,7.0,100.0,48.64910125732422,61.405975341796875
